num_task,cpu-allocated,memory-allocated,resolution,time-elapsed,task-clock(ms),context-switches,cpu-migrations,page-faults,avg-fps,avg-q,avg-bitrate(kbits/s),avg-process-CPU(%),avg-process-Memory(MB),avg-system-CPU(%),avg-system-Memory(%),frame_generated
13,5,8322793472,1080,215.57,83653.12,45783.38,2811.31,15816.69,16.38,24.21,0.00,39.19,369.57,98.98,57.54,3522.3879401963754
13,5,8322793472,1080,204.16,80831.50,45545.00,2780.23,17707.00,16.21,24.23,0.00,39.59,368.37,98.95,57.28,3400.476605803945
13,5,8322793472,1080,210.85,82925.85,45820.46,2815.54,16712.08,15.33,24.18,0.00,39.34,367.91,98.93,57.42,3382.3986410005778
13,5,8322793472,1080,201.32,78487.68,44524.77,2702.38,16627.31,16.87,24.19,0.00,39.29,367.09,98.91,57.46,3444.8705863123632
14,5,8322793472,1080,226.14,82487.97,46436.79,2855.86,16448.29,15.03,24.24,0.00,36.49,368.55,99.07,61.42,3450.793146826674
14,5,8322793472,1080,222.99,81202.48,45638.71,2832.50,18202.07,15.44,24.21,0.00,36.41,369.21,99.10,61.72,3486.4495327300274
14,5,8322793472,1080,225.09,81397.61,45535.43,2849.71,18745.64,14.43,24.22,0.00,36.47,367.66,99.08,61.39,3378.1658172802468
14,5,8322793472,1080,218.64,79431.36,45718.43,2813.64,17458.14,15.89,24.21,0.00,36.38,368.93,99.06,61.75,3511.766711941051
14,5,8322793472,1080,215.15,78747.09,44784.29,2764.00,17187.57,16.12,24.20,0.00,36.60,367.54,99.05,61.53,3481.991689320265
14,5,8322793472,1080,234.89,84856.79,46381.93,2880.00,18033.86,14.89,24.21,0.00,36.16,369.42,99.13,61.98,3513.362682975732
14,5,8322793472,1080,220.21,79563.45,45037.14,2784.50,16178.57,15.23,24.22,0.00,36.43,368.90,99.08,61.57,3442.3037227374816
14,5,8322793472,1080,230.45,83178.03,46483.71,2921.64,18629.57,15.01,24.23,0.00,36.11,369.21,99.08,61.86,3498.2341834429194
15,5,8322793472,1080,238.89,81455.52,45899.67,2903.47,17066.67,13.72,24.22,0.00,34.14,367.75,99.25,65.29,3384.3461388961896
15,5,8322793472,1080,237.29,81115.68,45705.47,2883.60,12244.60,14.27,24.21,0.00,34.18,368.38,99.16,65.59,3458.983635493589
15,5,8322793472,1080,229.80,78744.91,44930.20,2816.80,14400.60,15.22,24.20,0.00,34.20,367.76,99.12,65.48,3507.481230111772
15,5,8322793472,1080,230.96,78261.00,45212.67,2819.07,16298.53,15.03,24.21,0.00,33.84,367.47,99.15,65.74,3490.14637479378
15,5,8322793472,1080,241.15,82233.40,46014.80,2938.33,19131.47,13.49,24.20,0.00,34.07,368.11,99.17,65.51,3395.868616238987
15,5,8322793472,1080,242.23,82385.31,45758.20,2915.40,16970.00,13.96,24.20,0.00,34.06,367.66,99.21,65.47,3444.3973163704836
15,5,8322793472,1080,239.07,81244.34,45309.60,2888.60,13644.80,14.54,24.21,0.00,34.22,368.56,99.16,65.37,3497.4925510015146
15,5,8322793472,1080,246.24,83340.03,46051.00,2967.20,15474.73,13.61,24.25,0.00,33.90,368.50,99.19,65.65,3432.6895344391596
32,10,8321474560,480,123.75,38334.92,115395.41,5560.09,39962.00,27.13,23.79,0.00,31.03,231.36,98.17,88.57,3445.8856948869925
32,10,8321474560,480,121.20,37535.88,114888.00,5534.25,29677.72,28.04,23.81,0.00,31.05,231.84,98.19,88.69,3464.533770581218
32,10,8321474560,480,120.44,37246.23,108413.22,5238.06,24799.06,28.82,23.79,0.00,31.07,232.20,98.27,88.83,3496.586670609695
32,10,8321474560,480,122.61,38044.62,114897.06,5572.69,36502.00,28.11,23.80,0.00,31.14,231.38,98.17,88.60,3485.9086579651125
32,10,8321474560,480,119.38,37065.74,114604.47,5562.69,30822.66,28.80,23.80,0.00,31.14,231.92,98.24,88.75,3481.596123303751
32,10,8321474560,480,122.44,37951.37,114624.94,5557.44,25395.50,28.39,23.79,0.00,31.11,232.49,98.40,88.96,3497.232364057212
32,10,8321474560,480,121.08,37527.28,114776.91,5398.59,26501.50,28.28,23.81,0.00,31.10,232.43,98.32,89.01,3478.527405474865
32,10,8321474560,480,121.15,37573.21,114382.72,5605.34,28304.50,27.63,23.81,0.00,31.15,232.27,98.27,88.95,3434.128941622354
34,10,8321474560,480,127.62,37263.64,115385.88,5260.09,25778.53,27.35,23.82,0.00,29.34,206.81,98.37,93.60,3512.1256160073863
34,10,8321474560,480,128.30,37384.93,115411.18,5250.21,27932.94,26.40,23.81,0.00,29.27,211.37,98.46,93.58,3451.8920609870224
34,10,8321474560,480,128.21,37393.21,115942.50,5201.26,33877.53,26.69,23.79,0.00,29.27,210.64,98.32,93.40,3466.887568985594
34,10,8321474560,480,130.17,37926.38,115698.12,5120.91,40056.71,26.36,23.78,0.00,29.20,212.40,98.31,93.09,3475.7553891205166
34,10,8321474560,480,129.88,37880.83,116344.68,5296.97,34331.74,26.94,23.81,0.00,29.27,211.26,98.46,93.58,3516.4787230757047
34,10,8321474560,480,130.74,38155.50,115639.74,5213.09,34985.09,26.89,23.82,0.00,29.28,216.65,98.36,93.53,3515.7939526921177
34,10,8321474560,480,131.54,38305.37,115893.53,5177.94,34007.15,26.22,23.81,0.00,29.19,209.81,98.57,93.72,3483.2407864012307
34,10,8321474560,480,131.34,38231.40,115807.15,5124.44,33820.29,26.07,23.81,0.00,29.21,212.21,98.48,93.72,3483.8946255513933
36,10,8321474560,480,139.44,38333.92,116932.33,5035.17,33006.11,24.51,23.80,0.00,27.61,199.22,98.44,98.13,3468.797371733409
36,10,8321474560,480,141.51,38862.76,116942.22,4996.33,31563.78,24.29,23.80,0.00,27.49,199.41,98.45,98.27,3483.4892978335815
36,10,8321474560,480,137.76,37865.66,116787.22,4950.25,32208.75,25.00,23.81,0.00,27.57,199.34,98.45,98.23,3481.5499066855923
36,10,8321474560,480,138.58,38103.01,117004.72,4997.47,32536.25,25.03,23.82,0.00,27.57,198.99,98.66,98.15,3500.756581938482
36,10,8321474560,480,137.82,37798.12,116636.28,4956.19,30296.69,25.44,23.81,0.00,27.56,199.78,98.56,98.07,3512.906665463217
36,10,8321474560,480,141.00,38668.89,117237.97,4912.58,31163.67,25.00,23.81,0.00,27.49,199.54,98.46,98.40,3529.9292815843633
36,10,8321474560,480,138.63,38223.93,117107.97,4990.08,31138.42,24.85,23.80,0.00,27.67,198.96,98.45,97.90,3483.8499937092474
36,10,8321474560,480,137.85,37893.71,117387.06,4897.97,31376.86,25.51,23.81,0.00,27.57,199.65,98.52,98.20,3521.882267306145
37,10,8321474560,480,363.64,58317.93,232089.08,17368.81,204709.73,12.10,23.89,0.00,27.74,196.79,97.40,98.81,3600.0
37,10,8321474560,480,143.55,38045.83,120837.89,4814.84,33562.95,24.70,23.79,0.00,26.82,198.36,98.34,98.63,3539.1920417292426
37,10,8321474560,480,148.79,38739.25,122654.97,5190.73,40214.76,24.37,23.82,0.00,26.79,198.19,98.20,98.73,3573.733879608236
37,10,8321474560,480,167.71,40707.67,133066.95,5998.62,57084.51,24.10,23.83,0.00,27.01,198.45,98.08,98.58,3600.0
37,10,8321474560,480,261.71,48537.16,183509.54,9324.70,142298.30,20.70,23.87,0.00,27.73,198.10,97.58,98.55,3600.0
37,10,8321474560,480,230.01,45876.62,165870.86,8005.19,115453.30,22.16,23.87,0.00,27.00,198.38,97.86,98.60,3600.0
37,10,8321474560,480,313.73,52862.61,199039.05,15173.97,151452.84,18.68,23.88,0.00,27.19,198.65,98.01,98.25,3600.0
37,10,8321474560,480,287.10,49752.30,191511.00,9817.24,148367.08,20.25,23.87,0.00,27.85,198.26,98.03,98.42,3600.0
38,10,8321474560,480,262.36,48161.02,181433.71,10192.87,141949.66,13.54,23.85,0.00,27.99,194.06,97.17,98.23,3531.167475722518
38,10,8321474560,480,319.13,53900.11,209364.16,13451.45,180002.66,16.59,23.83,0.00,28.02,195.03,97.34,98.28,3522.8775771754845
38,10,8321474560,480,276.88,49196.20,190534.53,10250.84,153525.97,15.32,23.87,0.00,28.47,195.14,97.50,98.65,3533.502838887758
38,10,8321474560,480,246.26,47355.74,174385.87,9940.37,128501.79,15.16,23.85,0.00,28.55,194.81,97.43,98.57,3531.619128810946
38,10,8321474560,480,259.26,49629.32,186409.16,9696.45,156842.29,15.73,23.86,0.00,29.14,195.09,97.31,98.31,3529.746470308842
38,10,8321474560,480,215.27,44433.17,155388.13,8190.66,86576.84,13.95,23.85,0.00,27.98,194.76,97.24,98.71,3275.9705631004967
38,10,8321474560,480,183.39,41160.50,142044.92,6387.00,68400.63,12.45,23.83,0.00,26.80,194.60,97.44,98.58,2865.9243993712525
38,10,8321474560,480,386.64,57816.32,226718.68,19038.50,184803.68,12.99,23.87,0.00,28.94,195.54,97.04,98.52,3544.5255742967565
40,10,8321474560,480,212.41,44041.77,153784.10,7996.12,94476.18,13.06,23.56,0.00,28.02,194.62,95.90,98.27,3146.395209006464
40,10,8321474560,480,319.06,52029.71,199552.00,15829.12,160895.92,11.00,23.47,0.00,27.54,194.23,95.52,97.86,3357.1782952861904
40,10,8321474560,480,323.63,53348.34,210816.10,15189.95,181863.62,10.18,23.39,0.00,29.06,193.72,94.78,97.86,3364.692435222461
40,10,8321474560,480,244.87,46680.88,172243.73,8906.92,128491.77,14.27,23.54,0.00,27.71,194.54,96.34,98.01,3355.0048557510063
40,10,8321474560,480,157.16,38302.98,124444.70,4659.25,42306.78,15.39,23.45,0.00,27.48,194.31,96.10,98.38,2949.2942078288697
40,10,8321474560,480,260.68,47133.38,179788.77,9991.65,146955.80,13.38,23.29,0.00,26.74,192.95,95.01,97.65,3353.2919246670526
40,10,8321474560,480,292.39,50310.07,191290.92,11874.17,148130.35,12.22,23.47,0.00,27.22,194.51,93.96,98.32,3350.1772992254714
40,10,8321474560,480,217.46,43182.00,158012.70,7670.10,100722.65,13.97,23.43,0.00,27.44,194.42,96.67,98.36,3277.5807227079217
42,10,8321474560,480,776.85,72513.16,366345.21,27390.62,360038.86,7.99,23.12,0.00,27.09,192.76,92.97,97.72,3199.5492307138443
42,10,8321474560,480,522.70,55900.29,264863.43,15198.19,227641.95,5.30,23.12,0.00,28.03,193.96,92.72,97.23,3122.0616175408118
42,10,8321474560,480,1023.37,78859.08,448367.79,29617.45,447208.86,3.97,23.08,0.00,27.40,192.90,90.68,96.57,3214.6189096293488
42,10,8321474560,480,441.89,53885.01,231764.64,14964.24,188846.07,5.83,23.20,0.00,27.56,193.59,91.83,97.41,3015.515938477875
42,10,8321474560,480,569.32,58945.05,286198.79,19190.43,259622.19,4.32,22.84,0.00,26.78,193.07,91.61,97.53,2964.549146030057
42,10,8321474560,480,1015.00,63537.45,362059.40,12618.95,309183.21,1.48,23.34,0.00,29.30,194.94,91.43,97.91,2258.537400761638
42,10,8321474560,480,1131.22,68525.61,389500.98,16784.71,343914.88,1.79,23.13,0.00,27.02,192.84,92.98,97.26,2678.12300080787
42,10,8321474560,480,1903.54,83257.65,585823.14,18949.24,579452.29,4.28,23.10,0.00,27.74,193.84,89.29,97.57,3225.023262754693
44,10,8321474560,480,375.92,48708.81,201570.77,11958.73,158430.70,4.01,23.22,0.00,27.53,194.10,90.44,97.22,2311.541658993109
44,10,8321474560,480,721.41,66375.39,340969.05,18876.73,341613.00,4.79,23.11,0.00,28.40,193.84,91.22,97.71,3088.664956337066
44,10,8321474560,480,418.71,50187.07,222682.18,12114.77,183247.66,7.62,23.03,0.00,28.33,193.95,89.49,97.52,3063.7178285218515
44,10,8321474560,480,534.36,56812.38,259928.91,18318.64,222038.48,7.55,23.27,0.00,26.39,193.41,90.35,98.07,3064.184735490917
44,10,8321474560,480,945.05,73414.58,403085.59,26093.27,400709.07,5.16,22.80,0.00,27.84,191.35,87.40,97.08,3054.018224958399
44,10,8321474560,480,327.32,45850.48,190659.25,10820.91,142649.45,5.87,23.13,0.00,28.00,193.94,88.99,97.77,2626.3204249973455
44,10,8321474560,480,392.27,53231.09,225032.23,18425.86,198157.84,9.20,22.76,0.00,26.92,192.35,89.37,97.97,3051.789436617865
44,10,8321474560,480,358.04,50535.38,214185.25,13365.45,192065.52,8.09,23.13,0.00,27.56,194.21,90.87,96.76,3058.6783742126017
46,10,8321474560,480,346.30,49655.64,203439.89,15095.43,174714.98,8.90,22.93,0.00,27.02,193.63,90.25,96.95,2925.020180816883
46,10,8321474560,480,284.50,44242.71,173079.50,11210.89,133025.80,9.12,22.94,0.00,27.51,192.84,90.90,97.46,2923.342865376484
46,10,8321474560,480,363.77,49797.91,209805.26,14765.59,179008.91,6.40,23.03,0.00,27.52,193.94,89.31,97.25,2869.270640613097
46,10,8321474560,480,331.66,47520.76,188833.26,12589.04,155127.80,6.51,22.98,0.00,26.80,193.63,91.67,96.94,2763.546809398545
46,10,8321474560,480,1180.81,65918.75,391796.39,15902.35,344045.39,0.89,22.69,0.00,29.44,193.08,89.12,96.40,1879.4086770857166
12,10,8321474560,720,69.58,56194.31,118556.92,5260.42,43769.25,50.59,23.85,0.00,81.54,332.84,96.40,55.55,3517.3520373118627
12,10,8321474560,720,67.23,53613.12,117879.50,5512.50,37768.17,51.34,23.79,0.00,81.68,334.06,96.32,55.56,3490.1707852478235
12,10,8321474560,720,66.81,53519.78,117910.50,5536.67,33054.25,50.61,23.78,0.00,81.58,330.92,96.21,55.17,3447.954616874384
16,10,8321474560,720,90.84,56179.92,115826.44,4325.50,39370.12,38.27,23.87,0.00,62.17,332.49,97.75,69.82,3493.372241441809
16,10,8321474560,720,88.34,54427.42,116107.06,4510.69,36543.44,39.31,23.82,0.00,61.73,332.23,97.61,69.82,3492.988545722909
16,10,8321474560,720,88.11,52891.33,114830.12,4515.62,34477.06,38.94,23.81,0.00,61.90,332.21,97.57,69.72,3479.057358229336
18,10,8321474560,720,98.93,54317.08,114291.33,4209.00,35714.89,34.76,23.85,0.00,55.11,332.50,97.94,77.17,3488.8779878719274
18,10,8321474560,720,102.21,56196.46,114573.83,4143.17,32068.28,33.66,23.84,0.00,55.12,332.28,98.04,77.13,3490.4160579188774
18,10,8321474560,720,102.83,56161.44,114011.17,4045.22,31073.94,33.63,23.88,0.00,55.26,334.31,98.09,77.43,3484.0405395607254
20,10,8321474560,720,116.55,55635.59,113200.35,3660.95,35425.95,29.18,23.85,0.00,48.40,325.50,98.44,87.45,3465.62524052125
20,10,8321474560,720,116.44,55854.15,112737.75,3632.80,42443.00,30.40,23.85,0.00,48.17,332.29,98.39,87.39,3539.831870427601
20,10,8321474560,720,125.27,60558.68,112852.70,3630.55,32949.10,29.43,23.88,0.00,48.52,334.50,98.55,87.78,3595.585471878598
22,10,8321474560,720,139.27,60710.08,113865.27,3453.32,32008.55,24.48,23.88,0.00,44.03,309.01,98.76,94.21,3475.443084084122
22,10,8321474560,720,140.05,61499.63,113746.23,3419.64,38964.68,24.97,23.88,0.00,44.03,314.95,98.73,94.30,3516.193883789654
22,10,8321474560,720,134.31,58921.15,114081.05,3434.59,40731.95,26.15,23.89,0.00,44.06,314.93,98.65,94.15,3514.697888240636
24,10,8321474560,720,336.91,76810.41,207938.50,7925.71,160159.29,8.29,23.95,0.00,42.97,295.63,98.18,98.04,3160.434461915763
24,10,8321474560,720,381.33,79843.98,231094.79,11554.46,189512.38,7.03,23.96,0.00,43.36,295.42,98.09,97.82,3102.615542899712
24,10,8321474560,720,516.41,90355.66,283933.29,19854.50,244855.29,5.96,23.97,0.00,44.09,296.14,98.06,97.83,3314.9109881043546
25,10,8321474560,720,295.79,74128.61,190161.28,9100.48,137318.24,7.76,23.95,0.00,41.76,294.51,98.22,98.19,2871.313938822238
25,10,8321474560,720,412.64,82744.98,241697.28,11159.80,197219.80,6.53,23.95,0.00,42.10,295.30,98.09,97.99,3109.9549859266517
25,10,8321474560,720,227.62,67873.69,157017.56,7903.12,97658.36,8.99,23.93,0.00,42.20,294.80,98.27,97.73,2712.4100385048196
12,10,8321474560,1080,116.22,97426.91,125058.75,3271.25,36866.08,29.82,23.91,0.00,83.77,581.52,98.05,90.04,3491.4424861076295
12,10,8321474560,1080,112.73,94596.50,123174.92,3218.75,37051.08,29.96,23.90,0.00,84.19,582.50,97.98,90.14,3457.1455656104404
12,10,8321474560,1080,113.22,95337.64,123659.33,3190.25,27693.17,29.48,23.94,0.00,84.53,581.31,98.02,90.48,3435.2955867057262
14,10,8321474560,1080,117.47,89902.45,116526.57,2983.07,43727.57,22.09,23.35,0.00,76.12,545.94,95.69,96.59,3044.3759990467215
14,10,8321474560,1080,117.19,88985.52,117375.71,2999.14,43830.00,21.67,23.52,0.00,75.61,542.12,95.54,96.18,3019.0512733106975
14,10,8321474560,1080,117.25,90121.58,118535.93,2942.86,45085.00,25.18,23.40,0.00,77.10,548.15,95.87,96.29,3218.8672825393865
15,10,8321474560,1080,110.97,85006.37,111314.87,2876.87,46554.00,20.61,22.94,0.00,74.91,539.14,92.30,95.35,2853.8011730337307
15,10,8321474560,1080,113.30,84595.68,112676.73,3040.07,48738.87,18.30,23.12,0.00,77.13,541.55,92.25,95.44,2723.1492599990092
15,10,8321474560,1080,112.44,85499.68,110897.93,2864.87,47719.13,21.00,22.85,0.00,76.10,541.39,91.55,95.90,2889.265247578796
16,10,8321474560,1080,122.55,82594.99,113361.56,3448.56,56633.56,11.05,22.35,0.00,73.82,530.81,85.91,93.50,2200.9435578699317
16,10,8321474560,1080,106.27,80007.32,104618.44,2827.38,49024.69,17.80,21.74,0.00,72.70,522.00,86.38,93.68,2601.5452183867383
16,10,8321474560,1080,102.41,77442.64,102437.62,2671.19,48606.00,19.58,21.73,0.00,70.81,527.83,84.54,94.69,2665.199738186154
17,10,8321474560,1080,102.02,74910.65,98810.65,2615.53,50351.94,14.88,21.41,0.00,71.24,511.62,79.98,91.70,2327.5306332697396
17,10,8321474560,1080,111.33,76061.13,105648.88,3217.53,57223.53,11.68,21.75,0.00,70.47,525.54,82.24,94.04,2156.4701934475665
17,10,8321474560,1080,97.57,73447.55,98448.65,2599.06,49612.29,17.75,21.65,0.00,69.38,522.33,84.76,95.29,2474.8119582658096
18,10,8321474560,1080,98.21,72238.73,94217.44,2529.22,49642.83,14.39,21.15,0.00,67.56,504.36,76.84,92.64,2245.7293973973765
18,10,8321474560,1080,94.82,70971.32,92837.50,2497.78,51136.17,15.46,21.32,0.00,69.30,511.31,76.99,92.97,2286.6224915980947
18,10,8321474560,1080,119.92,74339.15,106452.33,2956.50,63138.83,7.84,21.29,0.00,68.85,498.24,78.96,93.53,1831.7204872327852
19,10,8321474560,1080,93.56,68763.91,89432.00,2406.26,50721.89,13.48,20.72,0.00,65.02,498.50,74.97,91.71,2115.671688735965
19,10,8321474560,1080,97.19,68924.86,92341.47,2582.16,53560.11,11.46,20.07,0.00,66.10,506.10,80.74,94.38,1988.3974905588184
19,10,8321474560,1080,94.33,70303.06,88420.26,2332.42,51048.37,13.87,20.44,0.00,67.81,502.55,73.20,91.69,2160.410881311918
20,10,8321474560,1080,88.23,64909.61,84126.15,2239.55,50683.00,13.11,19.01,0.00,66.37,494.26,69.17,92.55,2024.6847327694609
20,10,8321474560,1080,87.25,64787.69,83549.90,2228.15,50504.70,13.03,19.07,0.00,65.16,486.83,72.07,91.05,2004.9376843403766
20,10,8321474560,1080,91.12,66726.16,84843.50,2264.95,52670.65,12.41,20.46,0.00,64.82,499.38,72.60,93.07,2000.7553864730803
21,10,8321474560,1080,84.98,63587.45,80777.81,2152.29,51703.67,12.72,19.09,0.00,64.84,479.24,67.66,92.32,1958.163576262939
21,10,8321474560,1080,83.61,61765.70,80571.67,2181.14,51090.76,12.15,17.90,0.00,66.99,487.70,67.93,93.18,1897.8629650776493
21,10,8321474560,1080,84.73,61791.02,81475.71,2142.00,50992.57,11.49,18.10,0.00,66.94,464.54,73.34,92.98,1857.7580702418907
43,15,16763293696,480,160.16,55304.95,119435.93,5099.74,47154.88,18.97,23.75,0.00,34.65,257.69,98.61,62.61,3304.3936901500897
43,15,16763293696,480,151.03,52393.98,118551.35,5347.30,32960.56,23.19,23.83,0.00,34.82,259.21,98.79,62.85,3522.5481291793612
43,15,16763293696,480,154.12,52448.10,118146.37,5192.74,29517.91,21.59,23.82,0.00,34.79,259.10,98.85,62.84,3436.024746476207
44,15,16763293696,480,159.25,54007.06,118427.75,4989.41,33455.77,21.63,23.80,0.00,34.06,259.49,98.78,64.27,3487.58425334286
44,15,16763293696,480,158.52,53676.18,118489.41,5053.61,25947.14,22.12,23.83,0.00,34.03,259.55,98.94,64.35,3516.920329848858
44,15,16763293696,480,153.00,51887.99,118006.16,5281.68,28140.77,22.43,23.80,0.00,34.06,258.87,98.82,64.08,3478.6152639319816
45,15,16763293696,480,153.71,51111.13,117846.89,5122.87,34479.40,22.72,23.82,0.00,33.35,259.53,98.73,65.63,3507.7586182677237
45,15,16763293696,480,155.75,51694.09,118068.84,5135.36,30439.56,23.45,23.83,0.00,33.35,259.19,98.77,65.48,3587.48142940156
45,15,16763293696,480,163.14,54038.03,117994.13,4953.27,27065.89,20.76,23.82,0.00,33.29,259.87,98.87,65.72,3460.017511437054
46,15,16763293696,480,162.35,52371.45,117427.00,4891.35,29978.57,21.10,23.84,0.00,32.54,259.51,98.96,66.86,3471.4071334941286
46,15,16763293696,480,161.04,51941.28,117623.54,4822.72,28049.28,22.08,23.82,0.00,32.59,260.05,98.92,66.95,3542.190804042349
46,15,16763293696,480,150.24,48206.55,116974.48,5037.43,34547.98,21.88,23.82,0.00,32.61,259.16,98.78,66.69,3409.84796254582
47,15,16763293696,480,159.19,50549.83,117173.85,4910.68,29713.40,21.16,23.83,0.00,31.91,259.73,98.98,68.22,3445.0837526276114
47,15,16763293696,480,172.34,54760.04,118290.68,4678.26,33625.36,20.78,23.83,0.00,31.91,259.53,99.03,68.22,3562.609546100069
47,15,16763293696,480,168.01,53464.87,118056.83,4673.68,34006.72,20.65,23.80,0.00,31.92,259.36,99.01,68.13,3491.7810496762067
48,15,16763293696,480,165.97,51329.54,117085.33,4846.56,26119.85,19.48,23.79,0.00,31.24,259.33,98.92,69.48,3389.2792171077053
48,15,16763293696,480,150.35,46678.08,116277.33,5051.00,25500.02,22.72,23.81,0.00,31.37,259.63,98.82,69.37,3475.298150410048
48,15,16763293696,480,148.78,46253.10,116452.17,5025.31,29674.46,23.08,23.83,0.00,31.23,259.57,98.72,69.50,3475.8510282464013
28,15,16763293696,720,125.69,66953.25,153565.79,5611.14,44859.32,25.30,23.74,0.00,53.42,420.96,98.62,69.52,3366.3624000998993
28,15,16763293696,720,135.25,71901.14,153564.36,5408.54,44269.68,26.15,23.80,0.00,53.31,421.34,98.65,69.61,3531.2297042829136
28,15,16763293696,720,130.67,69781.81,153992.75,5619.21,46887.71,25.86,23.79,0.00,53.66,421.18,98.62,69.41,3456.3208019284757
30,15,16763293696,720,141.55,70364.40,153135.93,4997.83,39211.13,24.52,23.79,0.00,49.91,423.95,98.92,74.78,3494.428679724046
30,15,16763293696,720,137.45,68390.26,152731.13,5106.70,48990.43,25.16,23.81,0.00,49.91,423.43,98.72,74.61,3486.2976739342753
30,15,16763293696,720,139.32,69266.23,152840.57,5249.60,44045.03,23.71,23.80,0.00,49.99,422.84,98.72,74.48,3420.765946667483
31,15,16763293696,720,137.43,66083.39,152226.74,5137.32,39465.00,25.51,23.80,0.00,48.23,422.70,98.90,76.97,3522.9702189124764
31,15,16763293696,720,137.40,66041.18,151613.77,5215.81,38008.77,25.21,23.81,0.00,48.31,422.19,98.90,76.81,3496.154203042565
31,15,16763293696,720,137.37,66188.47,151730.94,5057.84,45291.55,25.42,23.83,0.00,48.42,423.54,98.70,76.89,3496.171570359296
32,15,16763293696,720,147.64,68605.47,152090.91,4851.88,47990.84,23.69,23.80,0.00,46.83,422.60,98.81,79.10,3510.9304417075923
32,15,16763293696,720,143.01,66815.81,147122.84,4821.81,42633.38,24.04,23.79,0.00,46.83,421.81,98.85,79.12,3479.595723462254
32,15,16763293696,720,143.08,66796.18,151403.69,4970.97,45679.84,24.30,23.81,0.00,46.87,422.66,98.79,79.24,3495.9945077637994
34,15,16763293696,720,152.71,67085.62,150589.15,4619.21,42426.41,22.71,23.81,0.00,44.09,424.15,99.06,84.25,3490.584287136586
34,15,16763293696,720,156.19,68671.46,150432.56,4614.50,44862.21,20.00,23.79,0.00,44.13,422.62,99.18,83.99,3345.3203094852893
34,15,16763293696,720,150.92,66333.84,150592.29,4718.53,43854.35,23.32,23.82,0.00,44.12,422.30,99.00,83.86,3522.6130126246353
36,15,16763293696,720,171.92,71543.87,149992.03,4267.08,40264.56,20.51,23.84,0.00,41.76,424.42,99.24,88.94,3534.0763410412924
36,15,16763293696,720,163.89,68199.08,150155.22,4320.94,44213.83,21.25,23.83,0.00,41.76,422.92,99.08,88.58,3505.7560638489936
36,15,16763293696,720,161.66,66721.57,148770.97,4356.42,44812.89,21.38,23.82,0.00,41.79,423.47,99.11,88.78,3487.542821356377
18,15,16763293696,1080,126.82,106552.95,157137.61,4064.22,41325.39,25.92,23.82,0.00,84.33,771.34,98.48,82.93,3421.248772616728
18,15,16763293696,1080,129.11,108061.62,157759.67,4121.50,43166.44,26.14,23.82,0.00,84.02,772.57,98.42,83.41,3462.460716871086
18,15,16763293696,1080,128.43,108596.11,156815.72,4075.67,41284.72,24.73,23.82,0.00,84.60,774.11,98.48,83.08,3356.393004010391
18,15,16763293696,1080,125.66,105838.71,156639.28,4022.17,39827.83,27.58,23.82,0.00,84.45,770.95,98.52,82.98,3495.438291214031
18,15,16763293696,1080,125.37,105005.51,157097.78,4033.06,38665.00,25.49,23.81,0.00,84.08,769.15,98.51,83.09,3369.3815584941985
19,15,16763293696,1080,131.47,104264.02,155437.79,3914.16,35425.21,24.56,23.80,0.00,79.47,769.60,98.58,87.77,3392.171477356735
19,15,16763293696,1080,139.35,110929.17,156959.05,4025.74,41961.00,24.20,23.83,0.00,79.81,773.41,98.62,87.57,3452.3376308430497
19,15,16763293696,1080,136.65,108105.70,156144.11,4007.42,43924.79,24.60,23.84,0.00,79.73,772.55,98.56,87.73,3454.9193799081877
19,15,16763293696,1080,137.23,108992.01,158063.84,3920.53,40980.63,25.57,23.83,0.00,79.69,772.91,98.59,87.72,3523.8687632426077
19,15,16763293696,1080,134.34,107072.44,156595.53,3996.26,35698.16,24.74,23.82,0.00,79.77,771.27,98.56,87.59,3435.2575716530073
20,15,16763293696,1080,140.94,106567.57,156604.25,3835.40,40241.65,23.70,23.81,0.00,75.77,769.78,98.69,91.81,3432.780959077515
20,15,16763293696,1080,144.15,108797.49,157066.05,3934.80,42329.55,23.13,23.80,0.00,75.60,772.90,98.66,92.03,3440.1753528301006
20,15,16763293696,1080,143.61,108276.82,156850.25,3990.00,46311.20,23.87,23.81,0.00,75.68,771.27,98.64,92.07,3482.2857398837646
20,15,16763293696,1080,151.87,114527.88,158866.90,4031.95,40909.95,23.55,23.84,0.00,75.61,774.02,98.71,92.35,3548.811246078002
20,15,16763293696,1080,152.98,116069.71,159459.95,4119.45,40427.45,23.27,23.80,0.00,76.13,771.93,98.71,91.75,3529.740828057363
21,15,16763293696,1080,177.25,128236.08,165500.81,4310.86,43198.19,19.78,23.86,0.00,72.57,745.56,98.86,96.09,3507.9368235432403
21,15,16763293696,1080,168.84,122210.34,163498.86,4224.86,46070.52,19.71,23.86,0.00,72.58,748.73,98.94,95.97,3439.2172506509733
21,15,16763293696,1080,168.74,122590.63,163235.38,4097.38,46638.29,19.19,23.86,0.00,72.85,751.02,98.82,95.60,3386.539446720527
21,15,16763293696,1080,161.92,117020.04,161441.62,4016.81,45813.81,20.49,23.87,0.00,72.57,749.32,98.84,95.85,3433.287575740322
21,15,16763293696,1080,163.26,118490.60,161975.48,3981.67,47227.90,21.17,23.81,0.00,72.79,753.52,98.81,95.79,3488.63102832204
