num_task, cpu-allocated, resolution, time-elapsed, task-clock(ms) ,context-switches ,cpu-migrations ,page-faults ,avg-fps ,avg-q ,avg-bitrate(kbits/s) ,avg-process-CPU(%) ,avg-process-Memory(MB) ,avg-system-CPU(%) ,avg-system-Memory(%)
22,10,720,122.20,54283.43,115927.82,3806.00,32607.59,28.67,23.83,0.00,45.03,319.73,98.24,89.66
23,10,720,123.89,53103.92,114109.13,3718.78,43341.00,28.36,23.86,0.00,43.10,314.01,98.31,92.29
24,10,720,10.44,4286.52,9581.62,312.08,2833.62,27.46,23.84,0.00,41.23,300.09,98.30,96.27
8,10,1080,122.35,110441.05,150969.12,28110.88,36925.25,29.48,23.95,0.00,91.21,579.96,72.55,63.01
10,10,1080,121.46,90417.38,148062.70,30394.30,28853.70,29.49,23.91,0.00,75.79,580.39,75.24,76.49
12,10,1080,121.25,86197.74,150287.58,21929.58,35455.92,29.48,23.87,0.00,71.32,579.75,85.15,89.51
14,10,1080,114.23,80837.48,129351.36,7374.79,52877.14,26.49,23.58,0.00,75.84,527.26,92.35,94.94
16,10,1080,1.96,605.76,1257.88,88.81,9282.62,18.64,22.23,0.00,71.83,489.36,92.25,93.69
20,10,1080,6.32,1663.44,4362.85,603.95,17628.95,8.85,18.91,0.00,63.66,434.48,84.79,93.13
30,10,480,121.59,37482.04,128062.57,12215.37,36950.93,29.43,23.79,0.00,31.04,228.68,92.60,82.52
30,10,480,121.55,36174.68,128400.47,17094.03,30936.43,29.48,23.80,0.00,30.27,228.42,90.31,82.23
30,10,480,121.78,37875.51,128174.00,10405.67,34078.27,29.44,23.79,0.00,31.37,229.46,93.54,82.56
30,10,480,121.59,37179.24,128639.40,13367.97,30595.20,29.46,23.80,0.00,30.83,227.98,91.94,82.21
30,10,480,121.62,36537.69,127904.23,13482.03,30523.73,29.46,23.78,0.00,30.85,228.63,92.02,82.35
31,10,480,121.43,36583.99,127469.61,8818.13,30093.97,29.44,23.79,0.00,30.58,228.63,94.26,84.71
31,10,480,121.62,37298.29,125189.65,7699.84,32155.06,29.35,23.77,0.00,30.93,229.03,95.28,84.96
31,10,480,121.65,37271.23,125100.58,7994.52,31409.00,29.33,23.78,0.00,30.88,229.07,95.19,84.94
31,10,480,121.48,36928.05,124476.48,7698.97,29955.06,29.30,23.81,0.00,31.00,228.86,95.57,85.05
31,10,480,121.58,37476.22,125829.00,6691.10,32212.68,29.35,23.77,0.00,31.06,229.66,95.69,85.11
32,10,480,121.52,36698.64,122947.94,5696.22,31236.38,29.30,23.79,0.00,30.40,228.68,96.72,87.28
32,10,480,121.97,37175.57,118738.38,5686.28,30682.06,29.03,23.78,0.00,30.69,228.98,97.52,87.48
32,10,480,121.55,36730.65,117101.09,5560.91,29245.28,28.71,23.77,0.00,30.70,229.34,97.62,87.49
