num_task,cpu-allocated,resolution,time-elapsed,task-clock(ms),context-switches,cpu-migrations,page-faults,avg-fps,avg-q,avg-bitrate(kbits/s),avg-process-CPU(%),avg-process-Memory(MB),avg-system-CPU(%),avg-system-Memory(%)
8,5,1080,116.48,73357.03,44146.38,2127.75,17699.25,28.87,24.15,0.00,63.04,367.57,97.87,43.40
8,5,1080,120.37,74848.00,43997.62,2230.88,16159.00,28.27,24.14,0.00,63.08,367.26,97.77,43.41
8,5,1080,121.62,77116.01,44539.62,2260.62,16947.12,28.48,24.14,0.00,63.42,367.71,97.91,43.39
9,5,1080,138.19,77351.43,45464.78,2307.67,17009.33,25.67,24.17,0.00,56.12,369.13,98.22,47.57
9,5,1080,133.49,75070.15,44595.44,2277.67,17828.11,26.42,24.12,0.00,56.31,369.36,98.13,47.61
9,5,1080,143.53,80566.39,46053.56,2450.67,20135.33,24.59,24.14,0.00,56.29,369.87,98.15,47.52
10,5,1080,149.83,75121.69,43725.80,2382.90,16933.70,23.74,24.12,0.00,50.73,367.66,98.48,51.45
10,5,1080,150.03,76094.34,44674.30,2394.60,19378.80,23.26,24.14,0.00,50.90,366.96,98.43,51.20
10,5,1080,150.13,75963.47,44426.70,2343.20,19500.40,22.93,24.15,0.00,50.71,367.79,98.40,51.41
33,10,480,126.55,38001.12,114541.70,5398.76,40677.97,27.32,23.76,0.00,30.12,230.86,98.25,87.18
33,10,480,117.28,35226.78,113972.00,5351.94,27637.30,29.67,23.80,0.00,30.14,232.58,98.47,87.87
33,10,480,123.38,37028.20,114380.06,5276.06,22891.30,28.51,23.80,0.00,30.13,232.35,98.40,87.95
34,10,480,123.27,35952.09,114058.88,5238.44,28116.15,27.90,23.79,0.00,29.30,224.67,98.32,90.15
34,10,480,122.23,35602.66,114057.24,5250.91,28268.68,28.28,23.81,0.00,29.25,232.20,98.47,90.26
34,10,480,122.55,35877.57,113791.94,5244.44,25514.79,28.10,23.77,0.00,29.39,232.24,98.23,89.92
35,10,480,126.31,35810.87,114402.74,5180.60,27499.60,27.67,23.82,0.00,28.42,217.67,98.50,92.43
35,10,480,126.03,35735.98,114404.23,5226.29,33480.14,27.55,23.82,0.00,28.47,224.12,98.43,92.46
35,10,480,128.11,36276.13,114514.40,5074.66,31260.97,27.07,23.79,0.00,28.39,215.20,98.50,92.73
36,10,480,128.28,35406.25,115125.64,5028.28,32774.89,27.21,23.82,0.00,27.67,206.75,98.48,94.55
36,10,480,130.07,35849.08,115640.00,5075.11,29899.56,26.51,23.79,0.00,27.62,205.21,98.44,94.94
